"","MDS","StatusHistory","SerNum","PPC","AssignLoc","ReportingStatus","StartDateTime","NMCFlag","stop"
"197","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-24 19:15:00,"0",2015-11-25 05:20:00
"198","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-25 05:20:00,"1",2015-11-26 00:40:00
"199","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-26 00:40:00,"0",2015-12-01 03:35:00
"200","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-01 03:35:00,"1",2015-12-01 09:22:00
"201","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-01 09:22:00,"0",2015-12-02 13:45:00
"202","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-02 13:45:00,"1",2015-12-04 11:30:00
"203","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-04 11:30:00,"0",2015-12-08 11:00:00
"204","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-08 11:00:00,"1",2015-12-10 08:30:00
"205","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-10 08:30:00,"0",2015-12-10 21:05:00
"206","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-10 21:05:00,"1",2015-12-12 17:00:00
"207","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-12 17:00:00,"0",2015-12-15 13:30:00
"208","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-15 13:30:00,"1",2015-12-15 19:30:00
"209","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-15 19:30:00,"0",2015-12-16 01:08:00
"210","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-16 01:08:00,"1",2015-12-16 18:00:00
"211","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-16 18:00:00,"0",2015-12-17 17:50:00
"212","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-17 17:50:00,"1",2015-12-18 18:30:00
"213","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-18 18:30:00,"0",2015-12-21 23:31:00
"214","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-12-21 23:31:00,"1",2015-12-22 02:00:00
"215","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-12-22 02:00:00,"0",2015-12-22 04:16:00
